,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
165,2020,3,Santiago Del Estero,26419,70720,555,4185,36130,105492
166,2020,3,Tierra Del Fuego,12854,26491,0,0,3100,39655
167,2020,3,Tucumán,149605,11752,59949,1808,7620,223876
168,2020,2,Buenos Aires,661272,2244277,723072,91736,571890,3777546
169,2020,2,Capital Federal,178896,1106133,39482,3937,293730,1357821
170,2020,2,Catamarca,26968,3641,14878,261,22280,47976
171,2020,2,Chaco,46816,56017,17266,6452,15810,128132
172,2020,2,Chubut,45761,38279,1324,17678,56140,108656
173,2020,2,Córdoba,282858,415007,85818,44522,82630,836468
174,2020,2,Corrientes,51248,55536,3144,3927,50110,118866
175,2020,2,Entre Ríos,89391,99423,13954,20042,113030,234113
176,2020,2,Formosa,21805,9353,1882,14723,1690,47932
177,2020,2,Jujuy,32705,38938,5057,952,166640,94316
178,2020,2,La Pampa,8551,54422,14232,11314,12900,89809
179,2020,2,La Rioja,16885,34984,1,250,350,52155
180,2020,2,Mendoza,91904,62941,29613,15924,8020,201184
181,2020,2,Misiones,50792,74497,2579,3319,91530,140340
182,2020,2,Neuquén,30256,67990,11037,15755,11340,126172
183,2020,2,Río Negro,49756,39650,10382,11331,183670,129486
184,2020,2,Salta,59502,81740,24289,5123,71080,177762
185,2020,2,San Juan,40092,8275,5509,7019,88820,69777
186,2020,2,San Luis,8401,8357,6,60935,362530,113952
187,2020,2,Santa Cruz,12845,16044,1027,6585,23680,38869
188,2020,2,Santa Fe,299974,381679,46698,30487,190940,777932
189,2020,2,Santiago Del Estero,25917,72074,355,3038,40630,105447
190,2020,2,Tierra Del Fuego,12854,26025,0,0,3100,39189
191,2020,2,Tucumán,150084,9833,55120,1357,7620,217156
192,2020,1,Buenos Aires,673237,2210349,720688,85443,183340,3708051
193,2020,1,Capital Federal,184494,1097635,38898,3911,285560,1353494
194,2020,1,Catamarca,21945,3146,12056,261,22270,39635
195,2020,1,Chaco,46356,54144,11958,6239,15800,120277
196,2020,1,Chubut,45763,27287,1324,16885,54790,96738
197,2020,1,Córdoba,286168,406109,68512,41617,86930,811099
198,2020,1,Corrientes,51126,53231,2172,2437,50040,113970
199,2020,1,Entre Ríos,90368,95434,13245,18737,140620,231846
200,2020,1,Formosa,21068,8887,1800,14510,1690,46434
201,2020,1,Jujuy,32066,38938,3078,942,166410,91665
202,2020,1,La Pampa,8553,53755,13821,11295,18020,89226
203,2020,1,La Rioja,13076,34984,0,251,290,48340
204,2020,1,Mendoza,91955,50251,28059,12465,7220,183452
205,2020,1,Misiones,51458,69452,1220,460,109620,133552
206,2020,1,Neuquén,29305,65951,11031,14711,7290,121727
207,2020,1,Río Negro,47756,38479,10381,11222,183620,126200
208,2020,1,Salta,60426,75593,23025,4125,72120,170381
209,2020,1,San Juan,40092,6448,5508,7082,51010,64231
210,2020,1,San Luis,8301,7612,5,58301,363330,110552
211,2020,1,Santa Cruz,12845,15766,1026,6817,23680,38822
212,2020,1,Santa Fe,302366,383673,35123,30488,194680,771118
213,2020,1,Santiago Del Estero,24695,70424,200,2779,46570,102755
214,2020,1,Tierra Del Fuego,12854,25632,0,0,3080,38794
215,2020,1,Tucumán,143184,10494,44687,1355,3470,200067
216,2019,4,Buenos Aires,720011,2191672,669194,87111,182660,3686254
217,2019,4,Capital Federal,196938,1093143,35534,3914,285760,1358105
218,2019,4,Catamarca,22999,3318,9506,261,22270,38311
219,2019,4,Chaco,48661,53602,8831,5229,15800,117903
220,2019,4,Chubut,47045,26977,1324,15267,54890,96102
221,2019,4,Córdoba,296872,410038,53335,37750,86930,806688
222,2019,4,Corrientes,52525,51845,2002,2458,50040,113834
223,2019,4,Entre Ríos,92981,99206,12875,18561,154070,239030
224,2019,4,Formosa,21567,8684,1760,14531,1690,46711
225,2019,4,Jujuy,32949,37604,873,814,166410,88881
226,2019,4,La Pampa,15457,56854,4942,11341,18050,90399
227,2019,4,La Rioja,13738,34984,0,251,290,49002
228,2019,4,Mendoza,96678,49711,24989,13672,7300,185780
229,2019,4,Misiones,53116,69676,847,441,117330,135813
230,2019,4,Neuquén,29826,60970,10549,14246,8540,116445
231,2019,4,Río Negro,49747,37933,9658,11437,183650,127140
232,2019,4,Salta,63272,76062,21865,3040,82060,172445
233,2019,4,San Juan,41360,6338,4931,7241,51040,64974
234,2019,4,San Luis,8569,8027,6,55266,363330,108201
235,2019,4,Santa Cruz,13264,15899,1036,6800,23710,39370
236,2019,4,Santa Fe,312072,382254,27464,26978,204010,769169
237,2019,4,Santiago Del Estero,24682,71239,200,2810,46570,103588
238,2019,4,Tierra Del Fuego,13261,26821,0,0,3100,40392
239,2019,4,Tucumán,146985,11012,39574,725,3480,198644
240,2019,3,Buenos Aires,1277249,2144956,425386,85572,270700,3960233
241,2019,3,Capital Federal,300288,1080973,24900,3895,311550,1441211
242,2019,3,Catamarca,24349,5543,13,244,22510,32400
243,2019,3,Chaco,50416,49156,8063,5224,15920,114451
244,2019,3,Chubut,37298,27090,1917,15149,75510,89005
245,2019,3,Córdoba,307780,399231,30064,37277,87010,783053
246,2019,3,Corrientes,53344,50230,1888,2458,48390,112759
247,2019,3,Entre Ríos,94947,96305,12888,18530,154320,238102
248,2019,3,Formosa,21777,8359,1476,14292,1620,46066
249,2019,3,Jujuy,33110,35742,274,812,166380,86576
250,2019,3,La Pampa,19469,52941,4994,11462,19620,90828
251,2019,3,La Rioja,14390,34984,11,251,410,49677
252,2019,3,Mendoza,148640,54312,6865,12975,15450,224337
253,2019,3,Misiones,54493,65872,829,419,122700,133883
254,2019,3,Neuquén,43347,60484,5560,13512,25180,125421
255,2019,3,Río Negro,67478,37425,9739,10806,188470,144295
256,2019,3,Salta,65799,74329,733,1580,93940,151835
257,2019,3,San Juan,51670,7425,1227,7241,55350,73098
258,2019,3,San Luis,13037,10561,350,62286,364660,122700
259,2019,3,Santa Cruz,10663,17056,969,6544,27380,37970
260,2019,3,Santa Fe,319396,377171,18690,24269,214080,760934
261,2019,3,Santiago Del Estero,24556,71198,219,2759,344000,133132
262,2019,3,Tierra Del Fuego,19790,26659,651,0,14870,48587
263,2019,3,Tucumán,150918,12089,116,684,3240,164131
264,2019,2,Buenos Aires,1284658,2079900,382971,75240,329290,3855698
265,2019,2,Capital Federal,309937,1061358,36082,3962,42810,1415620
266,2019,2,Catamarca,25682,5543,13,146,22510,33635
267,2019,2,Chaco,50765,47448,4203,4727,15910,108734
268,2019,2,Chubut,37313,26338,1917,14443,75450,87556
269,2019,2,Córdoba,314768,388254,23023,33847,152360,775128
270,2019,2,Corrientes,53835,47431,1701,2444,61380,111549
271,2019,2,Entre Ríos,97081,91081,12764,17369,175290,235824
272,2019,2,Formosa,21916,8686,1382,14292,1620,46438
