,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
3439,SAN LUIS,Ayacucho,San Roque,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3215448797,-6696257853
3440,SAN LUIS,Ayacucho,Santa Ana,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-321448782188562,-660460393687647
3441,SAN LUIS,Ayacucho,Santa Rosa De Catantal,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3233294095,-6691334013
3442,SAN LUIS,Ayacucho,Santa Teresa,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3220206139,-6626698743
3443,SAN LUIS,Ayacucho,Santo Domingo,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-318973633310749,-656491557457839
3444,SAN LUIS,Ayacucho,Talita,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-323496514640192,-667266327912252
3445,SAN LUIS,Belgrano,Arbol Solo,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3252213375,-6648595015
3446,SAN LUIS,Belgrano,Bella Estancia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-328188624645794,-666427145357585
3447,SAN LUIS,Belgrano,Buen Orden,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-3259798771,-6671267133
3448,SAN LUIS,Belgrano,El Barrial,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-328288468409196,-663734349744985
3449,SANTA FE,Caseros,Bigand,4939,SI,SI,NO,NO,NO,NO,SI,SI,SI,82014040.0,-333761183026397,-61185501310201
3450,SANTA FE,Caseros,Casilda,34703,SI,SI,NO,SI,NO,SI,SI,SI,SI,82014050.0,-330424955546762,-611693311184421
3451,SANTA FE,Caseros,Chabás,6871,SI,NO,NO,NO,NO,SI,SI,SI,SI,82014060.0,-332470674643201,-613575935561826
3452,SANTA FE,Caseros,Chañar Ladeado,5415,SI,SI,NO,SI,NO,NO,SI,SI,SI,82014070.0,-333258409849243,-620386496702618
3453,SANTA FE,Caseros,Gödeken,1652,NO,SI,NO,SI,NO,NO,SI,NO,SI,82014080.0,-33402405547162,-618449306727075
3454,SANTA FE,Caseros,Los Molinos,1832,SI,SI,NO,NO,NO,NO,SI,SI,SI,82014090.0,-331054899954916,-613265015329286
3455,SANTA FE,Caseros,Los Nogales,152,NO,SI,NO,NO,NO,NO,SI,NO,NO,82014100.0,-331430061971604,-616066128669784
3456,SANTA FE,Caseros,Los Quirquinchos,2462,NO,NO,NO,NO,NO,SI,SI,SI,SI,82014110.0,-333769918276119,-617121943064881
3457,SANTA FE,Caseros,San José de la Esquina,6775,SI,SI,NO,NO,NO,NO,SI,SI,SI,82014120.0,-331140485294151,-61703312346428
3458,SANTA FE,Caseros,Sanford,1810,SI,NO,NO,SI,NO,NO,SI,SI,SI,82014130.0,-331477729818051,-612778572887319
3459,SANTA FE,Caseros,Villada,1213,SI,SI,NO,NO,NO,NO,SI,NO,SI,82014140.0,-333503085722913,-614460374000461
3460,SANTA FE,Castellanos,Pueblo Marini,51,NO,NO,NO,NO,NO,SI,NO,NO,NO,82021300.0,-310409745475723,-618898826370338
3461,SANTA FE,Castellanos,Aldao (Est. Casablanca),1576,SI,NO,NO,SI,NO,SI,SI,NO,SI,82021010.0,-309823474545911,-617439869348366
