,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
634,2015,3,La Pampa,613,13087,47660,9,55,39,10,0.0,61473
635,2015,3,La Rioja,10,3840,9102,2984,832,0,3,0.0,16771
636,2015,3,Mendoza,256,25,173430,45,18,5,13,0.0,173792
637,2015,3,Misiones,958,9809,51234,17367,11654,559,43,0.0,91624
638,2015,3,Neuquén,1733,2124,85044,210,6599,2,155,0.0,95867
639,2015,3,Río Negro,3372,4457,88691,99,3826,1,62,0.0,100508
640,2015,3,Salta,1126,12223,65405,17451,4318,61,5,0.0,100589
641,2015,3,San Juan,9,391,54963,0,0,0,2,0.0,55365
642,2015,3,San Luis,9,4,13286,0,0,1,2,0.0,13302
643,2015,3,Santa Cruz,190,25,32266,2,0,0,0,0.0,32483
644,2015,3,Santa Fe,6767,80817,363177,59531,42021,2320,1133,0.0,555766
645,2015,3,Santiago Del Estero,703,8332,23158,5956,1249,0,0,0.0,39398
646,2015,3,Tierra Del Fuego,15,285,36408,2,0,0,0,0.0,36710
647,2015,3,Tucumán,107,23687,83654,29998,6232,623,0,0.0,144301
648,2015,2,Buenos Aires,8714,137189,2299705,243503,159922,2010,6712,0.0,2857754
649,2015,2,Capital Federal,2493,51799,990112,148569,142976,1482,9258,0.0,1346690
650,2015,2,Catamarca,15,7253,14003,3776,593,37,1,0.0,25678
651,2015,2,Chaco,288,11058,47551,17675,6337,788,149,0.0,83846
652,2015,2,Chubut,656,6032,55791,168,0,0,0,0.0,62647
653,2015,2,Córdoba,156,72695,434717,54993,46415,1956,903,0.0,611835
654,2015,2,Corrientes,34,12542,48015,17184,5039,379,126,0.0,83319
655,2015,2,Entre Ríos,2864,21986,104043,32293,7867,354,136,0.0,169543
656,2015,2,Formosa,1881,6907,14247,2436,1324,257,1,0.0,27053
657,2015,2,Jujuy,2479,9474,20248,4792,730,0,0,0.0,37723
658,2015,2,La Pampa,5737,8182,46235,27,24,25,10,0.0,60240
659,2015,2,La Rioja,10,4082,9093,2680,641,0,3,0.0,16509
660,2015,2,Mendoza,268,26,170451,42,16,5,13,0.0,170821
661,2015,2,Misiones,958,10360,51671,15022,10072,408,33,0.0,88524
662,2015,2,Neuquén,1755,2348,82727,214,5168,2,110,0.0,92324
663,2015,2,Río Negro,3413,4525,87362,97,3240,1,51,0.0,98689
664,2015,2,Salta,1123,13020,64737,16241,3114,29,5,0.0,98269
665,2015,2,San Juan,8,410,51568,0,0,0,2,0.0,51988
666,2015,2,San Luis,9,4,13204,0,0,1,2,0.0,13220
667,2015,2,Santa Cruz,210,25,25519,2,0,0,0,0.0,25756
668,2015,2,Santa Fe,6827,86016,364441,53205,33894,1856,1014,0.0,547253
669,2015,2,Santiago Del Estero,703,8779,23456,5553,888,0,0,0.0,39379
670,2015,2,Tierra Del Fuego,15,285,36073,2,0,0,0,0.0,36375
671,2015,2,Tucumán,107,25178,83462,26966,4502,455,0,0.0,140670
