,Año,Trimestre,Provincia,Mbps (Media de bajada)
332,2018,4,Santa Fe,13
333,2018,4,Santiago Del Estero,6
334,2018,4,Tierra Del Fuego,7
335,2018,4,Tucumán,17
336,2018,3,Buenos Aires,17
337,2018,3,Capital Federal,22
338,2018,3,Catamarca,8
339,2018,3,Chaco,13
340,2018,3,Chubut,6
341,2018,3,Córdoba,15
342,2018,3,Corrientes,11
343,2018,3,Entre Ríos,11
344,2018,3,Formosa,9
345,2018,3,Jujuy,8
346,2018,3,La Pampa,4
347,2018,3,La Rioja,6
348,2018,3,Mendoza,6
349,2018,3,Misiones,12
350,2018,3,Neuquén,15
351,2018,3,Río Negro,10
352,2018,3,Salta,9
353,2018,3,San Juan,6
354,2018,3,San Luis,9
355,2018,3,Santa Cruz,5
356,2018,3,Santa Fe,12
357,2018,3,Santiago Del Estero,6
358,2018,3,Tierra Del Fuego,6
359,2018,3,Tucumán,15
360,2018,2,Buenos Aires,15
361,2018,2,Capital Federal,19
362,2018,2,Catamarca,8
363,2018,2,Chaco,12
364,2018,2,Chubut,5
365,2018,2,Córdoba,14
366,2018,2,Corrientes,11
367,2018,2,Entre Ríos,10
368,2018,2,Formosa,9
369,2018,2,Jujuy,6
370,2018,2,La Pampa,4
371,2018,2,La Rioja,6
372,2018,2,Mendoza,6
373,2018,2,Misiones,12
374,2018,2,Neuquén,13
375,2018,2,Río Negro,10
376,2018,2,Salta,9
377,2018,2,San Juan,6
378,2018,2,San Luis,6
379,2018,2,Santa Cruz,5
380,2018,2,Santa Fe,12
381,2018,2,Santiago Del Estero,6
382,2018,2,Tierra Del Fuego,6
383,2018,2,Tucumán,14
384,2018,1,Buenos Aires,14
385,2018,1,Capital Federal,18
386,2018,1,Catamarca,8
387,2018,1,Chaco,12
388,2018,1,Chubut,5
389,2018,1,Córdoba,13
390,2018,1,Corrientes,11
391,2018,1,Entre Ríos,10
392,2018,1,Formosa,11
393,2018,1,Jujuy,7
394,2018,1,La Pampa,4
395,2018,1,La Rioja,6
396,2018,1,Mendoza,6
397,2018,1,Misiones,12
398,2018,1,Neuquén,12
399,2018,1,Río Negro,9
400,2018,1,Salta,9
401,2018,1,San Juan,6
402,2018,1,San Luis,6
403,2018,1,Santa Cruz,5
404,2018,1,Santa Fe,11
405,2018,1,Santiago Del Estero,6
406,2018,1,Tierra Del Fuego,6
407,2018,1,Tucumán,9
408,2017,4,Buenos Aires,13
409,2017,4,Capital Federal,15
410,2017,4,Catamarca,8
411,2017,4,Chaco,12
412,2017,4,Chubut,5
413,2017,4,Córdoba,12
414,2017,4,Corrientes,10
415,2017,4,Entre Ríos,9
416,2017,4,Formosa,10
